file_name,AU01_w,AU02_w,AU04_w,AU05_w,AU06_w,AU07_w,AU09_w,AU10_w,AU11_w,AU12_w,AU14_w,AU15_w,AU17_w,AU20_w,AU23_w,AU24_w,AU25_w,AU26_w,AU28_w,AU43_w
F1194_05_1_H.png,0.39,0.19,0.82,0.24,0.12,0.00,0.37,0.09,1.00,0.02,0.15,0.75,0.69,0.00,0.26,0.67,0.00,0.13,0.26,0.67
F1194_05_1_L.png,0.35,0.12,0.93,0.24,0.11,1.00,0.29,0.16,1.00,0.01,0.14,0.69,0.69,0.00,0.37,0.59,0.00,0.14,0.21,0.86
F1194_05_1_M.png,0.34,0.18,0.86,0.25,0.11,1.00,0.30,0.17,1.00,0.02,0.18,0.72,0.60,0.00,0.30,0.71,0.02,0.12,0.45,0.66
F1194_06_1_H.png,0.36,0.14,0.82,0.24,0.25,0.00,0.25,0.34,0.00,0.22,0.52,0.36,0.56,0.00,0.58,0.69,0.02,0.23,0.44,0.03
F1194_06_1_L.png,0.29,0.10,0.85,0.27,0.21,0.00,0.16,0.12,1.00,0.41,0.59,0.30,0.45,1.00,0.56,0.79,0.55,0.34,0.67,0.05
F1194_06_1_M.png,0.29,0.06,0.96,0.21,0.18,1.00,0.55,0.24,1.00,0.07,0.35,0.47,0.57,0.00,0.40,0.67,0.22,0.19,0.16,0.63
F1194_07_1_H.png,0.37,0.22,0.89,0.23,0.61,1.00,0.53,0.96,0.00,0.75,0.62,0.45,0.54,1.00,0.61,0.72,0.37,0.30,0.45,0.50
F1194_07_1_L.png,0.32,0.09,0.88,0.24,0.13,1.00,0.45,0.09,1.00,0.04,0.31,0.84,0.65,0.00,0.33,0.72,0.13,0.14,0.29,0.61
F1194_07_1_M.png,0.53,0.24,0.79,0.28,0.38,1.00,0.22,0.30,0.00,0.43,0.80,0.26,0.55,0.00,0.55,0.46,0.72,0.32,0.06,0.09
F1195_01_1_H.png,0.46,0.29,0.45,0.29,0.46,1.00,0.38,0.82,1.00,0.66,0.69,0.29,0.51,0.00,0.54,0.63,0.03,0.18,0.70,0.32
F1195_01_1_L.png,0.54,0.23,0.37,0.23,0.72,1.00,0.59,0.37,1.00,0.90,0.64,0.07,0.37,1.00,0.35,0.33,0.87,0.56,0.31,0.29
F1195_01_1_M.png,0.53,0.19,0.60,0.23,0.78,1.00,0.66,0.38,1.00,0.90,0.69,0.11,0.50,1.00,0.43,0.50,0.93,0.52,0.38,0.22
F1195_02_1_H.png,0.33,0.20,0.52,0.33,0.16,0.00,0.12,0.14,1.00,0.12,0.28,0.45,0.54,0.00,0.45,0.60,0.27,0.20,0.69,0.06
F1195_02_1_L.png,0.37,0.15,0.73,0.23,0.14,0.00,0.26,0.61,0.00,0.05,0.30,0.26,0.51,0.00,0.34,0.59,0.17,0.22,0.70,0.67
F1195_02_1_M.png,0.30,0.17,0.52,0.30,0.18,0.00,0.20,0.03,0.00,0.10,0.24,0.31,0.56,0.00,0.24,0.55,0.79,0.20,0.31,0.22
F1195_03_1_H.png,0.66,0.31,0.20,0.43,0.22,0.00,0.22,0.14,0.00,0.17,0.17,0.58,0.36,1.00,0.34,0.01,1.00,0.92,0.33,0.03
F1195_03_1_L.png,0.76,0.40,0.20,0.42,0.22,0.00,0.14,0.80,0.00,0.10,0.15,0.63,0.37,1.00,0.39,0.01,1.00,0.90,0.10,0.03
F1195_03_1_M.png,0.76,0.27,0.21,0.42,0.19,0.00,0.18,0.06,0.00,0.16,0.19,0.38,0.24,1.00,0.50,0.01,1.00,0.90,0.42,0.07
F1195_04_1_H.png,0.47,0.10,0.87,0.23,0.27,1.00,0.51,0.22,0.00,0.14,0.32,0.86,0.52,1.00,0.58,0.19,1.00,0.75,0.23,0.56
F1195_04_1_L.png,0.32,0.08,0.97,0.22,0.37,1.00,0.56,0.81,1.00,0.08,0.58,0.69,0.38,1.00,0.30,0.04,1.00,0.75,0.05,0.87
F1195_04_1_M.png,0.33,0.07,0.98,0.22,0.33,1.00,0.61,0.86,1.00,0.08,0.43,0.50,0.43,0.00,0.16,0.08,1.00,0.79,0.04,0.88
F1195_05_1_H.png,0.46,0.04,0.94,0.23,0.19,1.00,0.46,0.04,0.00,0.04,0.13,0.55,0.64,0.00,0.21,0.20,0.98,0.21,0.06,0.80
F1195_05_1_L.png,0.32,0.09,0.98,0.22,0.19,1.00,0.62,0.62,0.00,0.05,0.15,0.71,0.57,0.00,0.19,0.51,0.87,0.24,0.28,0.89
F1195_05_1_M.png,0.29,0.08,0.97,0.24,0.18,1.00,0.52,0.03,0.00,0.03,0.19,0.48,0.54,0.00,0.20,0.58,0.28,0.13,0.42,0.83
F1195_06_1_H.png,0.26,0.12,0.83,0.23,0.29,1.00,0.47,0.13,1.00,0.13,0.55,0.40,0.43,0.00,0.31,0.62,0.05,0.15,0.04,0.72
F1195_06_1_L.png,0.36,0.11,0.93,0.23,0.19,1.00,0.51,0.06,1.00,0.06,0.13,0.64,0.52,0.00,0.31,0.30,0.07,0.17,0.05,0.75
F1195_06_1_M.png,0.37,0.18,0.93,0.24,0.23,1.00,0.68,0.29,1.00,0.12,0.52,0.81,0.50,0.00,0.51,0.47,0.01,0.16,0.07,0.71
F1195_07_1_H.png,0.42,0.14,0.91,0.23,0.69,1.00,0.51,0.79,1.00,0.38,0.50,0.34,0.18,1.00,0.17,0.01,1.00,0.77,0.04,0.81
F1195_07_1_L.png,0.40,0.06,0.98,0.21,0.49,1.00,0.68,0.98,0.00,0.25,0.59,0.46,0.22,1.00,0.38,0.01,1.00,0.80,0.06,0.89
F1195_07_1_M.png,0.51,0.06,0.98,0.22,0.58,1.00,0.66,0.98,1.00,0.25,0.51,0.69,0.21,1.00,0.20,0.02,1.00,0.55,0.03,0.91
F1196_01_1_H.png,0.59,0.36,0.16,0.35,0.74,1.00,0.55,0.91,0.00,0.88,0.72,0.45,0.23,1.00,0.20,0.02,1.00,0.79,0.04,0.09
F1196_01_1_L.png,0.63,0.72,0.09,0.32,0.79,1.00,0.54,0.71,1.00,0.92,0.78,0.43,0.53,1.00,0.23,0.58,0.31,0.24,0.03,0.08
F1196_01_1_M.png,0.42,0.43,0.26,0.32,0.81,0.00,0.57,0.65,1.00,0.94,0.67,0.49,0.65,1.00,0.29,0.75,0.51,0.27,0.02,0.06
F1196_02_1_H.png,0.58,0.69,0.22,0.40,0.11,0.00,0.18,0.06,1.00,0.02,0.10,0.25,0.43,0.00,0.23,0.10,0.33,0.14,0.03,0.07
F1196_02_1_L.png,0.53,0.53,0.09,0.33,0.11,0.00,0.13,0.07,1.00,0.04,0.10,0.38,0.45,0.00,0.24,0.17,0.70,0.16,0.06,0.05
F1196_02_1_M.png,0.48,0.59,0.29,0.39,0.16,0.00,0.16,0.26,0.00,0.05,0.11,0.33,0.45,0.00,0.15,0.13,0.93,0.19,0.14,0.07
F1196_03_1_H.png,0.87,0.71,0.28,0.43,0.22,0.00,0.12,0.56,0.00,0.10,0.15,0.40,0.29,1.00,0.46,0.02,1.00,0.76,0.32,0.08
F1196_03_1_L.png,0.87,0.77,0.19,0.60,0.17,0.00,0.20,0.06,0.00,0.14,0.09,0.19,0.24,1.00,0.41,0.02,1.00,0.72,0.28,0.13
F1196_03_1_M.png,0.89,0.69,0.17,0.68,0.19,0.00,0.17,0.10,1.00,0.23,0.16,0.31,0.24,1.00,0.50,0.00,1.00,0.78,0.21,0.12
F1196_04_1_H.png,0.60,0.27,0.76,0.22,0.47,0.00,0.53,0.10,1.00,0.62,0.41,0.26,0.28,1.00,0.15,0.01,1.00,0.58,0.01,0.48
F1196_04_1_L.png,0.46,0.34,0.90,0.24,0.22,0.00,0.46,0.24,1.00,0.07,0.22,0.35,0.31,1.00,0.19,0.02,0.99,0.66,0.01,0.44
F1196_04_1_M.png,0.51,0.29,0.77,0.25,0.48,1.00,0.48,0.33,1.00,0.59,0.34,0.36,0.32,1.00,0.15,0.03,0.97,0.48,0.02,0.63
F1196_05_1_H.png,0.58,0.19,0.75,0.25,0.12,1.00,0.26,0.04,0.00,0.02,0.10,0.24,0.41,0.00,0.15,0.15,0.03,0.11,0.10,0.67
F1196_05_1_L.png,0.36,0.25,0.80,0.24,0.12,0.00,0.28,0.03,0.00,0.03,0.27,0.55,0.53,0.00,0.35,0.29,0.01,0.15,0.19,0.68
F1196_05_1_M.png,0.42,0.22,0.83,0.26,0.14,1.00,0.31,0.05,0.00,0.03,0.16,0.24,0.49,0.00,0.18,0.23,0.01,0.12,0.06,0.67
F1196_06_1_H.png,0.33,0.16,0.91,0.24,0.11,1.00,0.29,0.06,1.00,0.02,0.07,0.42,0.52,0.00,0.15,0.31,0.00,0.11,0.09,0.53
F1196_06_1_L.png,0.55,0.24,0.93,0.23,0.16,0.00,0.42,0.01,1.00,0.04,0.05,0.37,0.50,0.00,0.34,0.21,0.06,0.13,0.05,0.77
F1196_06_1_M.png,0.36,0.20,0.93,0.26,0.18,1.00,0.41,0.06,1.00,0.03,0.07,0.36,0.50,0.00,0.19,0.28,0.00,0.12,0.07,0.80
F1196_07_1_H.png,0.43,0.26,0.93,0.24,0.27,1.00,0.30,0.92,0.00,0.22,0.23,0.07,0.25,1.00,0.40,0.03,1.00,0.82,0.05,0.71
F1196_07_1_L.png,0.48,0.22,0.85,0.25,0.29,0.00,0.40,0.88,0.00,0.14,0.16,0.09,0.20,1.00,0.44,0.01,1.00,0.96,0.02,0.86
F1196_07_1_M.png,0.59,0.32,0.87,0.26,0.32,1.00,0.29,0.86,1.00,0.17,0.12,0.17,0.24,1.00,0.36,0.01,1.00,0.89,0.03,0.78
F1197_01_1_H.png,0.77,0.63,0.41,0.45,0.72,0.00,0.44,0.85,1.00,0.89,0.51,0.24,0.32,1.00,0.14,0.03,0.99,0.73,0.05,0.06
F1197_01_1_L.png,0.90,0.81,0.18,0.39,0.73,1.00,0.28,0.14,1.00,0.92,0.47,0.35,0.28,1.00,0.23,0.03,1.00,0.54,0.03,0.06
F1197_01_1_M.png,0.80,0.64,0.43,0.41,0.69,1.00,0.33,0.66,1.00,0.85,0.55,0.35,0.46,1.00,0.20,0.22,0.95,0.47,0.08,0.11
F1197_02_1_H.png,0.76,0.36,0.65,0.25,0.11,0.00,0.26,0.05,0.00,0.02,0.08,0.39,0.45,0.00,0.25,0.14,0.87,0.09,0.08,0.53
F1197_02_1_L.png,0.78,0.47,0.69,0.36,0.11,0.00,0.19,0.03,1.00,0.02,0.11,0.38,0.47,0.00,0.24,0.22,0.38,0.16,0.16,0.11
F1197_02_1_M.png,0.75,0.29,0.53,0.33,0.11,0.00,0.26,0.20,1.00,0.03,0.13,0.31,0.47,0.00,0.24,0.16,0.96,0.16,0.11,0.32
F1197_03_1_H.png,0.90,0.75,0.34,0.53,0.11,0.00,0.12,0.00,0.00,0.05,0.11,0.74,0.43,1.00,0.44,0.04,1.00,0.42,0.10,0.27
F1197_03_1_L.png,0.90,0.71,0.21,0.48,0.23,0.00,0.21,0.20,0.00,0.12,0.18,0.44,0.21,1.00,0.39,0.01,1.00,0.77,0.14,0.14
F1197_03_1_M.png,0.87,0.65,0.24,0.38,0.14,0.00,0.17,0.01,0.00,0.04,0.14,0.50,0.35,1.00,0.49,0.03,1.00,0.69,0.20,0.14
F1197_04_1_H.png,0.41,0.26,0.94,0.22,0.31,1.00,0.30,0.31,1.00,0.10,0.26,0.08,0.42,1.00,0.14,0.03,1.00,0.52,0.02,0.71
F1197_04_1_L.png,0.35,0.25,0.88,0.25,0.19,0.00,0.35,0.55,0.00,0.03,0.15,0.74,0.36,1.00,0.24,0.04,1.00,0.26,0.06,0.90
F1197_04_1_M.png,0.70,0.20,0.97,0.25,0.25,1.00,0.46,0.38,1.00,0.05,0.31,0.30,0.39,1.00,0.19,0.03,1.00,0.31,0.13,0.86
F1197_05_1_H.png,0.51,0.29,0.85,0.24,0.15,0.00,0.33,0.17,0.00,0.02,0.14,0.64,0.45,0.00,0.24,0.48,0.97,0.17,0.10,0.61
F1197_05_1_L.png,0.26,0.15,0.64,0.34,0.10,0.00,0.27,0.01,0.00,0.01,0.05,0.59,0.45,0.00,0.37,0.39,0.31,0.12,0.32,0.91
F1197_05_1_M.png,0.43,0.28,0.56,0.36,0.14,0.00,0.23,0.02,0.00,0.02,0.09,0.46,0.47,0.00,0.44,0.47,0.96,0.55,0.25,0.82
F1197_06_1_H.png,0.34,0.11,0.88,0.22,0.19,1.00,0.30,0.11,1.00,0.03,0.06,0.40,0.49,0.00,0.14,0.21,0.33,0.12,0.11,0.76
F1197_06_1_L.png,0.47,0.11,0.87,0.30,0.47,1.00,0.58,0.54,1.00,0.10,0.19,0.53,0.62,0.00,0.71,0.80,0.01,0.18,0.13,0.78
F1197_06_1_M.png,0.39,0.11,0.94,0.22,0.19,1.00,0.31,0.09,0.00,0.03,0.05,0.18,0.51,0.00,0.15,0.28,0.85,0.14,0.09,0.89
F1197_07_1_H.png,0.52,0.22,0.96,0.25,0.29,1.00,0.31,0.43,0.00,0.07,0.33,0.41,0.38,1.00,0.27,0.04,1.00,0.75,0.14,0.92
F1197_07_1_L.png,0.54,0.19,0.97,0.24,0.24,0.00,0.47,0.67,0.00,0.03,0.15,0.59,0.34,1.00,0.23,0.04,1.00,0.75,0.05,0.92
F1197_07_1_M.png,0.61,0.22,0.91,0.25,0.30,1.00,0.37,0.85,0.00,0.04,0.20,0.45,0.24,1.00,0.29,0.02,1.00,0.56,0.02,0.94
F1198_01_1_H.png,0.69,0.24,0.41,0.32,0.61,1.00,0.54,0.83,1.00,0.87,0.47,0.24,0.64,0.00,0.43,0.65,0.63,0.66,0.27,0.02
F1198_01_1_L.png,0.65,0.47,0.21,0.33,0.70,1.00,0.48,0.41,1.00,0.89,0.48,0.19,0.48,1.00,0.43,0.70,0.91,0.38,0.15,0.06
F1198_01_1_M.png,0.68,0.36,0.74,0.23,0.63,1.00,0.66,0.86,0.00,0.78,0.71,0.28,0.62,0.00,0.50,0.71,0.04,0.25,0.63,0.12
F1198_02_1_H.png,0.58,0.22,0.29,0.38,0.10,0.00,0.18,0.03,0.00,0.02,0.14,0.33,0.53,0.00,0.27,0.40,0.68,0.05,0.10,0.04
F1198_02_1_L.png,0.64,0.30,0.43,0.41,0.08,0.00,0.12,0.03,0.00,0.02,0.13,0.49,0.51,0.00,0.36,0.30,0.39,0.16,0.20,0.04
F1198_02_1_M.png,0.54,0.34,0.28,0.39,0.11,1.00,0.17,0.03,0.00,0.02,0.14,0.46,0.55,0.00,0.32,0.30,0.98,0.13,0.09,0.04
F1198_03_1_H.png,0.89,0.67,0.41,0.37,0.23,0.00,0.21,0.33,0.00,0.12,0.17,0.65,0.24,1.00,0.39,0.01,1.00,0.77,0.14,0.06
F1198_03_1_L.png,0.90,0.81,0.25,0.67,0.16,0.00,0.21,0.82,0.00,0.08,0.09,0.64,0.22,1.00,0.29,0.01,1.00,0.77,0.29,0.07
F1198_03_1_M.png,0.89,0.73,0.27,0.42,0.20,0.00,0.12,0.20,0.00,0.07,0.10,0.58,0.28,1.00,0.49,0.01,1.00,0.81,0.21,0.11
F1198_04_1_H.png,0.37,0.11,0.94,0.22,0.38,1.00,0.55,0.97,1.00,0.05,0.41,0.46,0.44,1.00,0.24,0.08,1.00,0.69,0.05,0.75
F1198_04_1_L.png,0.38,0.20,0.95,0.22,0.34,1.00,0.43,0.98,0.00,0.06,0.33,0.32,0.43,1.00,0.29,0.11,1.00,0.37,0.05,0.69
F1198_04_1_M.png,0.46,0.10,0.96,0.22,0.50,1.00,0.72,0.99,1.00,0.11,0.38,0.34,0.25,1.00,0.32,0.02,1.00,0.85,0.01,0.84
F1198_05_1_H.png,0.48,0.12,0.94,0.23,0.15,1.00,0.40,0.09,0.00,0.01,0.16,0.53,0.57,0.00,0.21,0.53,0.02,0.11,0.15,0.80
F1198_05_1_L.png,0.46,0.08,0.97,0.23,0.12,1.00,0.43,0.37,0.00,0.02,0.16,0.71,0.57,0.00,0.20,0.55,0.01,0.11,0.22,0.74
F1198_05_1_M.png,0.46,0.09,0.95,0.23,0.16,1.00,0.37,0.14,1.00,0.03,0.18,0.51,0.54,0.00,0.16,0.39,0.02,0.33,0.19,0.86
F1198_06_1_H.png,0.30,0.09,0.87,0.22,0.20,1.00,0.33,0.31,1.00,0.07,0.28,0.29,0.54,0.00,0.42,0.63,0.00,0.06,0.05,0.77
F1198_06_1_L.png,0.43,0.15,0.96,0.24,0.18,1.00,0.51,0.05,1.00,0.03,0.19,0.55,0.62,0.00,0.19,0.56,0.00,0.09,0.14,0.71
F1198_06_1_M.png,0.32,0.09,0.95,0.23,0.19,1.00,0.56,0.17,0.00,0.03,0.21,0.45,0.54,0.00,0.25,0.45,0.00,0.10,0.10,0.83
F1198_07_1_H.png,0.50,0.12,0.97,0.23,0.29,0.00,0.49,0.83,0.00,0.03,0.23,0.45,0.21,1.00,0.43,0.03,1.00,0.78,0.16,0.67
F1198_07_1_L.png,0.53,0.14,0.99,0.23,0.29,1.00,0.45,0.95,0.00,0.08,0.24,0.37,0.22,1.00,0.27,0.01,1.00,0.77,0.03,0.71
F1198_07_1_M.png,0.48,0.21,0.99,0.24,0.40,1.00,0.71,0.98,1.00,0.14,0.22,0.32,0.21,1.00,0.23,0.01,1.00,0.92,0.10,0.87
F1199_01_1_H.png,0.78,0.79,0.15,0.33,0.56,1.00,0.35,0.19,1.00,0.88,0.56,0.06,0.52,1.00,0.42,0.72,0.15,0.78,0.29,0.08
F1199_01_1_L.png,0.88,0.52,0.18,0.28,0.76,1.00,0.41,0.17,1.00,0.91,0.53,0.16,0.50,1.00,0.36,0.15,0.92,0.71,0.13,0.85
F1199_01_1_M.png,0.77,0.52,0.17,0.28,0.72,1.00,0.62,0.82,1.00,0.92,0.39,0.10,0.53,1.00,0.31,0.54,0.74,0.42,0.07,0.25
F1199_02_1_H.png,0.74,0.44,0.64,0.38,0.14,0.00,0.24,0.01,1.00,0.04,0.14,0.83,0.51,0.00,0.61,0.74,0.36,0.53,0.41,0.26
F1199_02_1_L.png,0.67,0.36,0.76,0.23,0.10,0.00,0.43,0.01,1.00,0.02,0.11,0.80,0.52,0.00,0.41,0.80,0.40,0.37,0.32,0.73
F1199_02_1_M.png,0.57,0.24,0.83,0.23,0.10,0.00,0.51,0.05,1.00,0.02,0.08,0.81,0.47,0.00,0.45,0.61,0.30,0.41,0.48,0.67
F1199_03_1_H.png,0.74,0.43,0.66,0.40,0.22,0.00,0.18,0.90,1.00,0.04,0.15,0.42,0.31,1.00,0.33,0.01,1.00,0.80,0.05,0.21
F1199_03_1_L.png,0.74,0.34,0.63,0.39,0.24,0.00,0.43,0.36,0.00,0.11,0.10,0.41,0.30,1.00,0.31,0.01,1.00,0.86,0.05,0.39
F1199_03_1_M.png,0.75,0.26,0.55,0.35,0.26,0.00,0.37,0.89,0.00,0.06,0.21,0.40,0.36,1.00,0.55,0.01,1.00,0.82,0.12,0.28
F1199_04_1_H.png,0.49,0.19,0.96,0.23,0.45,1.00,0.68,0.85,1.00,0.54,0.45,0.24,0.27,1.00,0.40,0.01,1.00,0.85,0.09,0.63
F1199_04_1_L.png,0.57,0.21,0.86,0.24,0.13,1.00,0.49,0.16,1.00,0.02,0.08,0.82,0.43,1.00,0.37,0.04,1.00,0.77,0.27,0.62
F1199_04_1_M.png,0.35,0.30,0.90,0.26,0.27,1.00,0.53,0.21,1.00,0.08,0.11,0.55,0.28,1.00,0.34,0.02,1.00,0.82,0.05,0.84
F1199_05_1_H.png,0.57,0.17,0.90,0.29,0.07,0.00,0.41,0.13,0.00,0.01,0.07,0.80,0.51,0.00,0.37,0.60,0.56,0.36,0.51,0.85
F1199_05_1_L.png,0.53,0.22,0.95,0.32,0.07,0.00,0.49,0.02,0.00,0.01,0.16,0.89,0.51,0.00,0.58,0.68,0.25,0.32,0.47,0.74
F1199_05_1_M.png,0.45,0.17,0.93,0.29,0.08,0.00,0.58,0.05,1.00,0.01,0.10,0.86,0.53,0.00,0.53,0.59,0.34,0.23,0.76,0.86
F1199_06_1_H.png,0.56,0.40,0.96,0.25,0.11,1.00,0.52,0.32,1.00,0.03,0.19,0.80,0.59,0.00,0.36,0.69,0.05,0.30,0.26,0.65
F1199_06_1_L.png,0.42,0.19,0.86,0.25,0.12,1.00,0.44,0.09,1.00,0.05,0.11,0.67,0.53,0.00,0.41,0.74,0.14,0.74,0.31,0.66
F1199_06_1_M.png,0.47,0.18,0.95,0.24,0.10,1.00,0.43,0.17,1.00,0.02,0.09,0.53,0.51,0.00,0.36,0.78,0.02,0.27,0.51,0.78
F1199_07_1_H.png,0.49,0.16,0.97,0.26,0.24,1.00,0.61,0.98,1.00,0.03,0.17,0.59,0.33,1.00,0.40,0.01,1.00,0.89,0.21,0.77
F1199_07_1_L.png,0.46,0.15,0.93,0.26,0.25,0.00,0.55,0.62,1.00,0.04,0.13,0.65,0.26,1.00,0.21,0.01,1.00,0.94,0.13,0.75
F1199_07_1_M.png,0.48,0.18,0.95,0.23,0.28,1.00,0.48,0.94,1.00,0.11,0.11,0.80,0.34,1.00,0.42,0.02,1.00,0.87,0.12,0.72
F1200_01_1_H.png,0.73,0.50,0.38,0.23,0.91,1.00,0.54,0.79,1.00,0.98,0.56,0.32,0.25,1.00,0.10,0.15,1.00,0.46,0.04,0.73
F1200_01_1_L.png,0.64,0.44,0.36,0.23,0.91,1.00,0.46,0.69,1.00,0.98,0.63,0.40,0.17,1.00,0.17,0.05,1.00,0.82,0.02,0.50
F1200_01_1_M.png,0.51,0.23,0.49,0.22,0.92,1.00,0.64,0.98,1.00,0.98,0.53,0.30,0.20,1.00,0.11,0.06,1.00,0.54,0.04,0.70
F1200_02_1_H.png,0.35,0.17,0.69,0.23,0.09,1.00,0.35,0.35,0.00,0.01,0.23,0.72,0.58,0.00,0.30,0.42,0.05,0.40,0.33,0.67
F1200_02_1_L.png,0.60,0.41,0.64,0.37,0.09,0.00,0.33,0.17,0.00,0.02,0.18,0.61,0.40,0.00,0.28,0.31,0.25,0.19,0.27,0.65
F1200_02_1_M.png,0.51,0.21,0.75,0.25,0.10,1.00,0.38,0.34,0.00,0.02,0.17,0.73,0.62,0.00,0.44,0.39,0.21,0.26,0.33,0.68
F1200_03_1_H.png,0.68,0.66,0.35,0.37,0.17,0.00,0.31,0.84,0.00,0.06,0.25,0.66,0.25,1.00,0.46,0.01,1.00,0.97,0.04,0.14
F1200_03_1_L.png,0.68,0.47,0.27,0.41,0.19,0.00,0.32,0.21,0.00,0.07,0.19,0.69,0.23,1.00,0.27,0.01,1.00,0.94,0.06,0.21
F1200_03_1_M.png,0.72,0.62,0.26,0.42,0.19,0.00,0.31,0.18,0.00,0.11,0.20,0.63,0.20,1.00,0.34,0.01,1.00,0.92,0.09,0.13
F1200_04_1_H.png,0.29,0.21,0.90,0.24,0.76,1.00,0.78,0.99,0.00,0.90,0.67,0.35,0.26,1.00,0.34,0.13,1.00,0.47,0.04,0.63
F1200_04_1_L.png,0.32,0.20,0.67,0.22,0.81,1.00,0.76,0.55,0.00,0.94,0.62,0.21,0.26,1.00,0.35,0.03,1.00,0.61,0.05,0.61
F1200_04_1_M.png,0.32,0.15,0.90,0.23,0.37,1.00,0.74,0.99,0.00,0.49,0.50,0.54,0.48,1.00,0.28,0.14,1.00,0.26,0.06,0.72
F1200_05_1_H.png,0.35,0.26,0.87,0.24,0.09,1.00,0.48,0.16,1.00,0.01,0.20,0.84,0.60,0.00,0.46,0.57,0.07,0.09,0.09,0.62
F1200_05_1_L.png,0.30,0.16,0.83,0.23,0.13,0.00,0.71,0.57,1.00,0.06,0.32,0.75,0.46,1.00,0.40,0.10,0.98,0.38,0.06,0.51
F1200_05_1_M.png,0.30,0.16,0.91,0.24,0.11,1.00,0.55,0.05,1.00,0.01,0.27,0.82,0.54,0.00,0.32,0.72,0.16,0.39,0.28,0.72
F1200_06_1_H.png,0.41,0.17,0.94,0.23,0.17,1.00,0.65,0.80,0.00,0.04,0.13,0.62,0.41,0.00,0.25,0.10,1.00,0.75,0.22,0.68
F1200_06_1_L.png,0.38,0.13,0.85,0.22,0.23,1.00,0.50,0.84,0.00,0.09,0.30,0.75,0.42,1.00,0.35,0.41,0.98,0.70,0.09,0.57
F1200_06_1_M.png,0.45,0.11,0.97,0.23,0.25,1.00,0.51,0.42,1.00,0.11,0.28,0.72,0.41,1.00,0.38,0.19,1.00,0.78,0.03,0.73
F1200_07_1_H.png,0.42,0.20,0.78,0.23,0.41,1.00,0.67,1.00,1.00,0.51,0.54,0.59,0.29,1.00,0.53,0.02,1.00,0.93,0.29,0.64
F1200_07_1_L.png,0.55,0.21,0.42,0.25,0.50,1.00,0.76,1.00,1.00,0.80,0.52,0.65,0.34,1.00,0.35,0.02,1.00,0.72,0.09,0.52
F1200_07_1_M.png,0.31,0.31,0.77,0.23,0.78,1.00,0.81,0.33,1.00,0.84,0.59,0.23,0.25,1.00,0.30,0.12,1.00,0.39,0.04,0.74
F1201_01_1_H.png,0.50,0.58,0.65,0.23,0.78,0.00,0.64,0.22,1.00,0.93,0.72,0.26,0.47,1.00,0.55,0.45,0.99,0.49,0.12,0.53
F1201_01_1_L.png,0.39,0.27,0.65,0.24,0.42,1.00,0.32,0.21,0.00,0.52,0.57,0.38,0.42,1.00,0.38,0.73,0.42,0.30,0.16,0.46
